FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
849278;Ghaghra;1.14403449;Pandekuli;R07184;Reservoir;Hazaribagh;Jharkhand;Ganga;Damodar
849334;Ghambiramgedda Reservoir;55.11727408;Gambheeram;R02569;Reservoir;Visakhapatanam;Andhra Pradesh;East flowing rivers between Mahanadi and Pennar;Nagvati and other
849813;Ghanand;58.72874819;Gharniki;R03875;Reservoir;Sangli;Maharashtra;Krishna;Bhima Upper
850172;Ghanand;30.20322351;Gharniki;R03730;Reservoir;Sangli;Maharashtra;Krishna;Bhima Upper
846098;Ghanegaon;52.77886948;Karodi;R03731;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Upper
846641;Ghanewadi;281.18746639;Ghanewadi;R03732;Reservoir;Jalna;Maharashtra;Godavari;Godavari Middle
846853;Ghardone Talav;45.92004705;Ghardon;R07660;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Upper
846355;Gharni;616.08838889;Nalegaon;R01123;Reservoir;Latur;Maharashtra;Godavari;Manjra
848775;Ghasia;109.91951316;Jetpur;R06622;Reservoir;Dohad;Gujarat;Mahi;Mahi Upper
851077;Ghastoli Tank;59.1722166;Kerwad Gundyanati;R07847;Reservoir;Belagavi;Karnataka;West flowing rivers from Tapi to Tadri;Vasishti and others
846647;Ghatana;38.60553435;Pardinaka;R03734;Reservoir;Yavatmal;Maharashtra;Godavari;Wardha
850827;Ghatane  Barrage;5.49855535;Ghatne;R07730;Reservoir;Solapur;Maharashtra;Krishna;Bhima Upper
849861;Ghatapada M.I.P;16.80606063;Reserve Forest;R07112;Reservoir;Kalahandi;Odisha;Mahanadi;Mahanadi Lower
850602;Ghataprabha;222.83175906;Masure;R03034;Reservoir;Kolhapur;Maharashtra;Krishna;Krishna Upper
848318;Ghatera;115.68260838;Pura Gusanie;R01895;Reservoir;Vidisha;Madhya Pradesh;Ganga;Yamuna Lower
850207;Ghatkarwadi;27.79514575;Suleran;R07049;Reservoir;Kolhapur;Maharashtra;Krishna;Krishna Upper
847742;Ghatkhed;25.36650284;Indhala;R03736;Reservoir;Amravati;Maharashtra;Tapi;Tapi Upper
850002;Ghatoi Tank;102.55680241;Kabaripali;R00222;Reservoir;Janjgir-Champa;Chhattisgarh;Mahanadi;Mahanadi Middle
846468;Ghatshiras;19.95267195;Ghatshiras;R03737;Reservoir;Ahmednagar;Maharashtra;Godavari;Godavari Upper
847294;Ghed Bhadar;60.43681708;Chikasa;R07330;Reservoir;Porbandar;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
847065;Ghee;457.46852437;Ramnagar;R01268;Reservoir;Devbhumi Dwarka;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
847164;Ghela Somnath/ Ghelo(S);133.52103617;Ambardi;R06047;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
847182;Ghelo(I);311.68241137;Khambhala;R01392;Reservoir;Amreli;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
850269;Gheradi;79.84909972;Pare;R03738;Reservoir;Solapur;Maharashtra;Krishna;Bhima Upper
849852;Ghod;2070.82392591;Danewadi;R00922;Reservoir;Ahmednagar;Maharashtra;Krishna;Bhima Upper
847100;Ghodadharoi;195.89913554;Zinkiyali;R03750;Reservoir;Morbi;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Saraswati
849345;Ghodahada Reservoir;418.51104338;Mahulapada;R01444;Reservoir;Ganjam;Odisha;East flowing rivers between Mahanadi and Pennar;Vamsadhara and other
847690;Ghodambe;52.02441243;Nagshewadi;R03739;Reservoir;Nashik;Maharashtra;Tapi;Tapi Middle
848492;Ghodasgaon;6.43216061;Satod;R07357;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Upper
