osmid,day,exists_true_image,total_pixel_count,water_pixels,cloud_pixels,water_with_no_clouds_pixels,chl_very_low_pixels,chl_low_pixels,chl_moderate_pixels,chl_high_pixels,chl_very_high_pixels,chl_very_low_area,chl_low_area,chl_moderate_area,chl_high_area,chl_very_high_area,is_valid,total_pixel_area,mci,mci_2
559181927,2024-08-31,True,93140,40096.0,73290.0,13005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
559850601,2024-01-02,True,77696,78527.0,2441.0,76095.0,0.0,3336.0,29872.0,234.0,0.0,0.0,83400.0,746800.0,5850.0,0.0,True,,243060.0,32008.0
559850601,2024-02-11,True,77696,78609.0,0.0,78609.0,4.0,48327.0,12170.0,0.0,0.0,100.0,1208175.0,304250.0,0.0,0.0,True,,332920.0,36334.5
559850601,2024-03-22,True,77696,78535.0,0.0,78535.0,8.0,73422.0,0.0,0.0,0.0,200.0,1835550.0,0.0,0.0,0.0,True,,367130.0,36713.0
559850601,2024-05-01,True,77696,78220.0,0.0,78220.0,35.0,61278.0,5027.0,5.0,0.0,875.0,1531950.0,125675.0,125.0,0.0,True,,344230.0,35684.75
559850601,2024-06-10,True,77696,77451.0,2605.0,75013.0,0.0,571.0,1928.0,180.0,0.0,0.0,14275.0,48200.0,4500.0,0.0,True,,19115.0,2573.5
559850601,2024-07-20,True,77696,12271.0,79239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
559850601,2024-08-29,True,77696,72808.0,79239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
563802369,2024-01-03,True,63849,941.0,65191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
563802369,2024-02-12,True,63849,7072.0,63834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
563802369,2024-03-23,True,63849,960.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
563802369,2024-05-02,True,63849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
563802369,2024-06-11,True,63849,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
563802369,2024-07-21,True,63849,0.0,65191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
563802369,2024-08-30,True,63849,64240.0,0.0,64240.0,0.0,1711.0,5526.0,28881.0,0.0,0.0,42775.0,138150.0,722025.0,0.0,True,,338810.0,64143.5
568408655,2024-01-04,True,42392,41142.0,0.0,41142.0,152.0,23949.0,0.0,0.0,0.0,3800.0,598725.0,0.0,0.0,0.0,True,,120125.0,12012.5
568408655,2024-02-13,True,42392,40681.0,43091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
568408655,2024-03-24,True,42392,15968.0,36044.0,6892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
568408655,2024-05-03,True,42392,26612.0,0.0,26612.0,86.0,8786.0,1914.0,138.0,0.0,2150.0,219650.0,47850.0,3450.0,0.0,True,,59880.0,6604.5
568408655,2024-06-12,True,42392,835.0,43091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
568408655,2024-07-22,False,42392,,,,,,,,,,,,,,False,1059800.0,,
568408655,2024-08-31,True,42392,32647.0,29337.0,13239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
586029356,2024-01-03,True,56254,16719.0,49873.0,3404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
586029356,2024-02-12,False,56254,,,,,,,,,,,,,,False,1406350.0,,
586029356,2024-03-23,True,56254,2750.0,22441.0,2586.0,0.0,4.0,4.0,8.0,26.0,0.0,100.0,100.0,200.0,650.0,False,,455.0,126.0
586029356,2024-05-02,True,56254,0.0,57112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
586029356,2024-06-11,True,56254,8811.0,0.0,8811.0,0.0,4.0,12.0,68.0,1335.0,0.0,100.0,300.0,1700.0,33375.0,True,,17477.5,5490.0
586029356,2024-07-21,True,56254,8.0,57112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
586029356,2024-08-30,True,56254,0.0,57112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
596831199,2024-01-01,True,39083,36745.0,0.0,36745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
