,Unnamed: 0,osmid,name,area,distance,water,university,centroid_long,centroid_lat,pixel_size,pixel_count,total_pixel_area
55,55,7923683,Vandri Lake,4016684.240661352,74710.34938337203,reservoir,Amity University,72.94745580659125,19.609434076893223,5,172883,4322075
56,56,7943959,,2260427.298676141,92278.1880275443,reservoir,AURO University of Hospitality and Management,73.39172968829926,20.70575713631348,5,89565,2239125
57,57,7943960,,2089463.9622791896,83849.60330254724,reservoir,AURO University of Hospitality and Management,73.2860253167469,20.701455133312148,5,84433,2110825
58,58,7953581,Manikdoh,9865003.814297725,75913.57817450026,reservoir,Amity University,73.774965196518,19.24628037473816,5,391487,9787175
59,59,7973774,Varasgaon,18192741.93671076,68212.1739560933,reservoir,Ajeenkya D Y Patil University,73.53896852813796,18.38829526771013,10,177329,17732900
60,60,8026438,,55535655.944547005,98341.0468397178,reservoir,Anand Agricultural University,73.76598948338761,23.02323418332332,10,583661,58366100
61,61,8194213,,23038906.85360877,71167.6887974471,reservoir,Ayush And Health Science University,81.17212340513566,20.674879707300324,5,920360,23009000
62,62,8194214,,12019460.753166696,67538.47594029286,reservoir,Ayush And Health Science University,81.22054614803825,20.678632047827183,5,479991,11999775
63,63,8204071,Ravishankar Reservoir,74115270.58268613,64322.72516817449,reservoir,Ayush And Health Science University,81.52899544764804,20.57552254512496,10,747982,74798200
64,64,8207454,Sikasaar reservoir,20680651.96464637,102492.80159907784,reservoir,Ayush And Health Science University,82.3125766402953,20.475478456066035,5,826027,20650675
65,65,8235296,Dumerpani Reservoir,3827975.5280800126,98786.41707576552,reservoir,Amity University,82.65516648484841,20.80310228630022,5,153090,3827250
66,66,8235297,Sahipala Reservoir,1993966.53435807,96738.98049131408,reservoir,Amity University,82.67853815244678,20.858909487579947,5,80408,2010200
67,67,8251578,Ghod Reservoir,28590725.92706611,35427.52518544708,reservoir,Ajeenkya D Y Patil University,74.45477811921972,18.726270906162263,10,286601,28660100
68,68,8256553,,1180720.1023455237,85038.67923716774,reservoir,Amity University,82.37059128675557,22.04447452486806,5,47586,1189650
69,69,8415449,,3104181.252864368,37180.821040148585,reservoir,Alliance University,77.34409254159672,12.977829010089836,5,124241,3106025
70,70,8415450,,2627623.223426785,33904.34640912101,reservoir,Alliance University,77.32969407574475,12.89605210070272,5,104173,2604325
71,71,8421510,Sukhna Lake,1362619.4655139486,49586.852110600215,lake,APG (Alakh Prakash Goyal) University,76.81995753813878,30.741407877314582,5,55657,1391425
72,72,8503675,Parambikulam Reservoir,20217850.67912427,51231.98086345878,reservoir,Amrita Vishwa Vidyapeetham,76.8048758081563,10.385148549637114,5,834479,20861975
73,73,8503676,Peruvarippalam Reservoir,1426589.4873498164,45061.46363631498,reservoir,Amrita Vishwa Vidyapeetham,76.7760247247406,10.451908069350123,5,58164,1454100
74,74,8503824,Chimminy Reservoir,7895010.507535918,64736.192874502885,reservoir,Amrita Vishwa Vidyapeetham,76.48010303075476,10.439082858936608,5,334704,8367600
75,75,8546709,Powai Lake,1784020.2327271935,29717.343156870567,lake,Amity University,72.90487810129048,19.127069285737434,5,71347,1783675
76,76,8810862,Malampuzha Lake,19226563.54644505,24808.864028193413,reservoir,Amrita Vishwa Vidyapeetham,76.68916741345649,10.847261687770732,5,827825,20695625
77,77,8886666,Ranjit Sagar,70664844.27623606,41685.26831570312,reservoir,Arni University,75.7700785371268,32.48357430320463,10,711672,71167200
78,78,9042890,,4517184.250661779,75255.50400996355,reservoir,Anand Agricultural University,73.71140511554523,22.556027331326465,5,188606,4715150
79,79,9042893,,1481630.671373006,29601.559344791767,reservoir,Anand Agricultural University,73.25967764311193,22.58165991225705,5,59669,1491725
80,80,9049956,,4452292.03543001,60921.035601069125,reservoir,Anand Agricultural University,73.55748727234052,22.388929330606288,5,178719,4467975
81,81,9083419,Backwater Wilson Dam,18117595.439983435,90771.93473908574,reservoir,Amity University,73.73414561300889,19.53324901104828,5,725883,18147075
82,82,9218434,,22607822.65097074,59571.37787242854,reservoir,Assam University,92.75451059945512,24.26839742559674,10,235626,23562600
83,83,9319304,Pothundi reservoir,3179885.162108213,44766.183713507824,reservoir,Amrita Vishwa Vidyapeetham,76.63301913913088,10.54252031676078,5,127144,3178600
84,84,9323642,,16575069.185966894,78476.54657799799,reservoir,Ayush And Health Science University,80.97394973235956,20.806505303264533,5,707599,17689975
85,85,9336894,,1859934.6910628187,57189.895319845615,reservoir,Ayush And Health Science University,82.02892409987503,20.78675757604751,5,76121,1903025
86,86,9400786,,4440385.752228102,78907.5786204531,reservoir,Azim Premji University,78.37920532997752,12.973955002169877,5,177214,4430350
87,87,9401253,,2858610.6477718293,75499.75056770735,reservoir,Azim Premji University,78.33584961550591,13.024565275056933,5,114785,2869625
88,88,9521805,,983844.635788533,58198.57768225699,reservoir,Amity University,73.01357131021872,19.47076685300998,5,40895,1022375
89,89,9961445,,3780200.778671133,68839.15610757942,reservoir,Ahmedabad University,72.24494522857293,22.48582988505743,5,177510,4437750
90,90,10179602,Yelahanka Lake,961196.149519622,30123.460713179204,lake,Azim Premji University,77.59347341599964,13.113539725257574,5,38628,965700
91,91,10215377,K L Rao Sagar,51869320.76386728,63644.05676055901,reservoir,Acharya Nagarjuna University,80.01050013337975,16.709076437765695,10,520370,52037000
92,92,10297258,,843962.8220220514,90385.2096226291,reservoir,AURO University of Hospitality and Management,72.00577709855277,21.7179554887374,5,36203,905075
93,93,10344457,Peringalkuthu Reservoir,2463996.124864351,64958.52421117327,reservoir,Amrita Vishwa Vidyapeetham,76.65293478262168,10.30856494726511,5,100593,2514825
94,94,11247469,Edulabad Lake,1875748.364112552,33847.25986469645,pond,Acharya Ng Ranga Agricultural University,78.69800273074537,17.42462371475225,5,74968,1874200
95,95,11339483,Jhangh Lake,980680.8123638406,14018.04427342335,lake,Ayush And Health Science University,81.77060138946555,21.14702451331039,5,43908,1097700
