name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
Bharathidasan University,bharathidasan university,State,Tamil Nadu,620024,1982,78.7263,10.693
Bharati Vidyapeeth,bharati vidyapeeth,Deemed,Maharashtra,411030,1996,73.8448,18.5064
Bhatkhande Music Institute,bhatkhande music institute,Deemed,Uttar Pradesh,222601,2000,80.9331,26.8536
Bhupendra Narayan Mandal University,bhupendra narayan mandal university,State,Bihar,852113,1993,86.7943,25.9368
Bidhan Chandra Krishi Vishwavidyalaya,bidhan chandra krishi vishwavidyalaya,State,West Bengal,741252,1974,88.5351,22.947
Bihar Agricultural University,bihar agricultural university,State,Bihar,813210,2010,87.045,25.2166
Bihar Yoga Bharati,bihar yoga bharati,Deemed,Bihar,811201,2000,86.4318,25.3736
Biju Patnaik University of Technology,biju patnaik university of technology,State,Odisha,769004,2003,84.7966,22.2208
Bilaspur Vishwavidyalaya,bilaspur vishwavidyalaya,State,Chhattisgarh,495009,2011,82.1518,22.1796
Birla Institute Of Technology,birla institute of technology,Deemed,Jharkhand,835215,1986,85.419,23.419
Birla Institute Of Technology & Science,birla institute of technology & science,Deemed,Rajasthan,333031,1964,75.6262,28.4065
Birsa Agricultural University,birsa agricultural university,State,Jharkhand,834006,1980,85.3291,23.4555
BLDE University,blde university,Deemed,Karnataka,586103,2008,75.7105,16.8597
Bml Munjal University,bml munjal university,Private,Haryana,123413,2014,76.8561,28.2739
Bodoland University,bodoland university,State,Assam,783370,2009,90.2391,26.6294
BS Abdur Rahman Institute Of Science And Technology,bs abdur rahman institute of science and technology,Deemed,Tamil Nadu,600048,2008,80.1462,12.8184
Bundelkhand University,bundelkhand university,State,Uttar Pradesh,284128,1975,78.6522,25.4523
Burdwan University,burdwan university,State,West Bengal,713104,1960,87.826,23.2443
Calcutta University,calcutta university,State,West Bengal,700073,1857,88.3591,22.5755
Calicut University,calicut university,State,Kerala,673635,1968,75.8776,11.1196
Calorx Teacher�S University,calorx teacher�s university,Private,Gujarat,382481,2009,72.5252,23.1093
Career Point University,career point university,Private,Rajasthan,324005,2012,76.544,31.6219
Career Point University,career point university,Private,Himachal Pradesh,176041,2012,75.8353,25.1376
Central Agricultural University,central agricultural university,Central,Manipur,795004,1993,93.9269,24.8213
Central Institute Of Fisheries Education,central institute of fisheries education,Deemed,Maharashtra,400061,1989,72.8027,19.1514
Central Institute Of Higher Tibetan Studies,central institute of higher tibetan studies,Deemed,Uttar Pradesh,221007,1988,83.029,25.3721
Central University Of Gujarat,central university of gujarat,Central,Gujarat,382007,2009,72.6279,23.1649
Central University Of Haryana,central university of haryana,Central,Haryana,123029,2009,76.1236,28.3223
Central University Of Himachal Pradesh,central university of himachal pradesh,Central,Himachal Pradesh,176215,2009,76.3463,32.2741
