name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
Jaipur National University,jaipur national university,Private,Rajasthan,302017,2007,75.8156,26.8592
Jamia Hamdard,jamia hamdard,Deemed,Delhi,110062,1989,77.2439,28.5036
Jamia Millia Islamia University,jamia millia islamia university,Central,Delhi,110025,1988,77.2839,28.5636
Jammu University,jammu university,State,Jammu & Kashmir,180006,1968,74.8732,32.7104
Janardan Rai Nagar Rajasthan Vidyapeeth,janardan rai nagar rajasthan vidyapeeth,Deemed,Rajasthan,313001,1987,73.5355,24.898
Jawahar Lal Nehru Centre For Advanced Scientific Research,jawahar lal nehru centre for advanced scientific research,Deemed,Karnataka,560064,2002,77.5677,13.1435
Jawaharlal Nehru Architecture And Fine Arts University,jawaharlal nehru architecture and fine arts university,State,Telangana,500028,2008,78.4359,17.3991
Jawaharlal Nehru Krishi Vishwavidyalaya,jawaharlal nehru krishi vishwavidyalaya,State,Madhya Pradesh,482004,1964,79.9521,23.2191
Jawaharlal Nehru Technological University,jawaharlal nehru technological university,State,Andhra Pradesh,515002,2008,82.224,16.9581
Jawaharlal Nehru Technological University,jawaharlal nehru technological university,State,Andhra Pradesh,533003,2008,78.3919,17.5023
Jawaharlal Nehru Technological University,jawaharlal nehru technological university,State,Telangana,500072,1972,77.5309,14.6378
Jawaharlal Nehru University,jawaharlal nehru university,Central,Delhi,110067,1969,77.1678,28.5424
Jayoti Vidyapeeth Women�S University,jayoti vidyapeeth women�s university,Private,Rajasthan,303007,2008,75.6244,26.7522
Jaypee Institute Of Information Technology,jaypee institute of information technology,Deemed,Uttar Pradesh,201307,2004,77.3579,28.5961
Jaypee University,jaypee university,Private,Uttar Pradesh,203390,2014,77.0702,31.0166
Jaypee University of Engineering & Technology,jaypee university of engineering & technology,Private,Madhya Pradesh,473226,2010,77.6486,24.6491
Jaypee University of Information Technology,jaypee university of information technology,Private,Himachal Pradesh,173215,2002,77.0671,31.0303
Jecrc University,jecrc university,Private,Rajasthan,303905,2012,75.8096,26.6882
Jharkhand Rai University,jharkhand rai university,Private,Jharkhand,834002,2012,85.3247,23.33
JIS University,jis university,Private,West Bengal,700020,2015,88.3499,22.5381
Jiwaji University,jiwaji university,State,Madhya Pradesh,474011,1964,78.1803,26.189
Jk Lakshmipat University,jk lakshmipat university,Private,Rajasthan,302026,2011,76.1337,27.1983
Jodhpur National University,jodhpur national university,Private,Rajasthan,342001,2008,72.7752,26.1598
Junagadh Agricultural University,junagadh agricultural university,State,Gujarat,362001,2004,70.4532,21.5098
Kadi Sarva Vishwavidyalaya,kadi sarva vishwavidyalaya,Private,Gujarat,382016,2007,72.6416,23.2313
Kakatiya University,kakatiya university,State,Telangana,506009,1976,79.5718,17.9798
Kalasalingam Academy Of Research And Higher Education,kalasalingam academy of research and higher education,Deemed,Tamil Nadu,626126,1984,77.6575,9.6468
Kalinga Institute Of Industrial Technology,kalinga institute of industrial technology,Deemed,Odisha,751024,2002,85.8127,20.348
Kalinga University,kalinga university,Private,Chhattisgarh,492101,2011,81.768,21.2758
Kalyani University,kalyani university,State,West Bengal,741235,1960,88.4489,22.9829
Kamdhenu University,kamdhenu university,State,Gujarat,382010,2009,72.6535,23.219
Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya,kameshwar singh darbhanga sanskrit vishwavidyalaya,State,Bihar,846008,1961,85.897,26.1631
Kannada University,kannada university,State,Karnataka,583276,1992,76.5031,15.2931
Kannur University,kannur university,State,Kerala,670562,1997,75.3399,11.9655
Karnataka Folklore University,karnataka folklore university,State,Karnataka,581193,2011,75.6758,14.7817
Karnataka Sanskrit University,karnataka sanskrit university,State,Karnataka,560004,2011,77.577,12.9475
Karnataka State Law University,karnataka state law university,State,Karnataka,580025,2009,75.1267,15.4006
Karnataka State Open University,karnataka state open university,State,Karnataka,570006,1996,76.6249,12.3126
Karnataka State Women University,karnataka state women university,State,Karnataka,586101,2004,75.7151,16.8164
Karnataka University,karnataka university,State,Karnataka,580003,1949,74.8764,15.4213
Karnataka Veterinary,karnataka veterinary,State,Karnataka,585401,2004,77.5182,17.9155
Karpagam Academy Of Higher Education,karpagam academy of higher education,Deemed,Tamil Nadu,641021,2008,77.0268,10.9301
Karunya Institute Of Technology And Sciences,karunya institute of technology and sciences,Deemed,Tamil Nadu,641114,2004,76.7215,10.9621
Kashmir University,kashmir university,State,Jammu & Kashmir,190006,1949,74.8363,34.1456
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,kavi kulguru kalidas sanskrit vishwavidyalaya,State,Maharashtra,441106,1997,79.3729,21.3265
Kazi Nazrul University,kazi nazrul university,State,West Bengal,713304,2012,86.9459,23.6908
Kerala Agricultural University,kerala agricultural university,State,Kerala,680656,1972,76.2856,10.5575
Kerala Kalamandalam,kerala kalamandalam,Deemed,Kerala,679531,2006,76.2942,10.6923
Kerala University,kerala university,State,Kerala,695034,1937,76.9124,8.5132
Kerala University of Fisheries & Ocean Studies,kerala university of fisheries & ocean studies,State,Kerala,682506,2011,76.3272,9.8986
Kerala University of Health Sciences,kerala university of health sciences,State,Kerala,680596,2011,76.2052,10.6197
Kerala Veterinary & Animal Sciences University,kerala veterinary & animal sciences university,State,Kerala,673576,2011,76.0621,11.4809
Khwaja Moinuddin Chishti Urdu,khwaja moinuddin chishti urdu,State,Uttar Pradesh,226013,2010,80.8937,26.9301
King Georges Medical University,king georges medical university,State,Uttar Pradesh,226003,2004,80.8869,26.8727
"KLE Academy Of Higher Education And
Research",kle academy of higher education and research,Deemed,Karnataka,590010,2006,74.5845,15.9136
Kolhan University,kolhan university,State,Jharkhand,833201,2007,85.8656,22.4476
Koneru Lakshmaiah Education Foundation,koneru lakshmaiah education foundation,Deemed,Andhra Pradesh,522502,2009,80.5877,16.4675
Kr Mangalam University,kr mangalam university,Private,Haryana,122103,2013,77.1027,28.2243
Krantiguru Shyamji Krishna Verma Kachchh University,krantiguru shyamji krishna verma kachchh university,State,Gujarat,370001,2004,69.6953,23.509
Krishna Institute Of Medical Sciences Deemed University,krishna institute of medical sciences deemed university,Deemed,Maharashtra,415539,2005,74.146,17.1491
Krishna Kanta Handique State Open University,krishna kanta handique state open university,State,Assam,781006,2007,91.79,26.1428
Krishna University,krishna university,State,Andhra Pradesh,521001,2008,81.1077,16.1066
KSGH Music And Performing Arts University,ksgh music and performing arts university,State,Karnataka,570004,2009,76.6429,12.2932
Kumar Bhaskar Varma Sanskrit & Ancient Studies University,kumar bhaskar varma sanskrit & ancient studies university,State,Assam,781335,2011,91.4375,26.4448
Kumaun University,kumaun university,State,Uttarakhand,263001,1973,79.3902,29.3596
Kurukshetra University,kurukshetra university,State,Haryana,136119,1956,76.7618,29.9825
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,kushabhau thakre patrakarita avam jansanchar vishwavidyalaya,State,Chhattisgarh,492013,2004,81.6002,21.2278
Kuvempu University,kuvempu university,State,Karnataka,577451,1987,75.2704,14.3695
Lakshmibai National Institute Of Physical Education,lakshmibai national institute of physical education,Deemed,Madhya Pradesh,474002,1995,78.1812,26.2205
Lakulish Yoga University,lakulish yoga university,Private,Gujarat,382481,2013,72.5258,23.1093
Lala Lajpat Rai University of Veterinary & Animal,lala lajpat rai university of veterinary & animal,State,Haryana,125004,2010,75.6774,29.1196
Lalit Narayan Mithila University,lalit narayan mithila university,State,Bihar,846008,1972,85.903,26.1631
Lingaya'S University,lingaya's university,Deemed,Haryana,121002,2009,77.3717,28.4301
LNM Istitute Of Information Technology,lnm istitute of information technology,Deemed,Rajasthan,302031,2006,75.9238,26.9364
Lovely Professional University,lovely professional university,Private,Punjab,144002,2005,75.4986,31.3095
Lucknow University,lucknow university,State,Uttar Pradesh,226007,1921,80.9469,26.8662
Madan Mohan Malviya University of Technology,madan mohan malviya university of technology,State,Uttar Pradesh,273010,2013,83.4681,26.6726
Madhav University,madhav university,Private,Rajasthan,307026,2014,72.8059,24.4296
Madhya Pradesh Medical Science University,madhya pradesh medical science university,State,Madhya Pradesh,482003,2011,79.8074,23.1829
Madras University,madras university,State,Tamil Nadu,600005,1857,80.2861,13.055
Madurai Kamraj University,madurai kamraj university,State,Tamil Nadu,625021,1965,78.0113,9.9298
Magadh University,magadh university,State,Bihar,824234,1962,84.945,24.609
Mahamaya Technical University,mahamaya technical university,State,Uttar Pradesh,201301,2010,77.3212,28.5757
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,mahapurusha srimanta sankaradeva viswavidyalaya,Private,Assam,782001,2013,92.6898,26.2937
Maharaj Vinayak Global University,maharaj vinayak global university,Private,Rajasthan,302017,2012,75.8216,26.8592
Maharaja Agrasen University,maharaja agrasen university,Private,Himachal Pradesh,174103,2013,76.8567,30.9013
Maharaja Ganga Singh University,maharaja ganga singh university,State,Rajasthan,334001,2003,73.0634,28.2254
Maharaja Krishnakumarsinji Bhavnagar University,maharaja krishnakumarsinji bhavnagar university,State,Gujarat,364002,1978,72.1013,21.6809
Maharaja Sayajirao University of Baroda,maharaja sayajirao university of baroda,State,Gujarat,390002,1949,73.1783,22.3328
Maharaja Surajmal Brij University,maharaja surajmal brij university,State,Rajasthan,321001,2012,77.5233,27.1893
Maharana Pratap University of Agriculture & Technology,maharana pratap university of agriculture & technology,State,Rajasthan,313001,2000,73.5415,24.898
Maharashi Markandeshwar University,maharashi markandeshwar university,Private,Haryana,134007,2010,76.7635,30.3899
Maharashtra Animal & Fishery Sciences University,maharashtra animal & fishery sciences university,State,Maharashtra,440006,2002,79.0574,21.1649
Maharashtra University  of Health Sciences,maharashtra university of health sciences,State,Maharashtra,422013,2000,73.7596,20.0159
Maharishi Dayanand Saraswati University,maharishi dayanand saraswati university,State,Rajasthan,305009,1987,74.7302,26.4132
Maharishi Dayanand University,maharishi dayanand university,State,Haryana,124001,1976,76.5712,28.8984
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,maharishi mahesh yogi vedic vishwavidyalaya,Private,Madhya Pradesh,482001,1995,79.9642,23.1588
Maharishi Markandeshwar University,maharishi markandeshwar university,Deemed,Haryana,134003,2007,77.0062,30.8348
Maharishi Markandeshwar University,maharishi markandeshwar university,Private,Himachal Pradesh,173229,2010,76.6732,30.2498
Maharishi Panini Sanskrit Evam Vedic Vishwavidyalaya,maharishi panini sanskrit vedic vishwavidyalaya,State,Madhya Pradesh,456010,2008,75.8362,23.165
Maharishi University of Information Technology,maharishi university of information technology,Private,Uttar Pradesh,226020,2013,80.9157,26.9057
Maharishi University of Management and Technology,maharishi university of management and technology,Private,Chhattisgarh,495001,2002,82.0361,22.0866
Mahatma Gandhi Antarrashtriya Hindi ,mahatma gandhi antarrashtriya hindi ,Central,Maharashtra,442001,1997,78.6105,20.6894
Mahatma Gandhi Central University,mahatma gandhi central university,Central,Bihar,800014,2014,85.0917,25.5955
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,mahatma gandhi chitrakoot gramoday vishwavidyalaya,State,Madhya Pradesh,485331,1993,80.6976,24.9317
Mahatma Gandhi Kashi Vidyapeeth,mahatma gandhi kashi vidyapeeth,State,Uttar Pradesh,221002,1974,82.973,25.3322
Mahatma Gandhi University,mahatma gandhi university,State,Kerala,686560,1983,91.7706,25.9364
Mahatma Gandhi University,mahatma gandhi university,State,Telangana,508254,2008,76.5247,9.6637
Mahatma Gandhi University,mahatma gandhi university,Private,Meghalaya,793101,2011,75.9404,26.757
Mahatma Gandhi University of Medical Sciences & Technology,mahatma gandhi university of medical sciences & technology,Private,Rajasthan,302022,2011,79.2513,17.2261
Mahatma Jyoti Rao Phoole University,mahatma jyoti rao phoole university,Private,Rajasthan,302019,2009,75.7613,26.8896
Mahatma Phule Krishi Vidyapeeth,mahatma phule krishi vidyapeeth,State,Maharashtra,413722,1968,74.6456,19.4326
Makhanlal Chaturvedi Rashtriya Patrakarita National university of journalism and communication,makhanlal chaturvedi national university of journalism and communication,State,Madhya Pradesh,462039,1993,77.4323,23.1907
Manav Bharti University,manav bharti university,Private,Himachal Pradesh,173229,2009,77.0122,30.8348
Manav Rachna International Uniersity,manav rachna international uniersity,Deemed,Haryana,121001,2008,77.2949,28.4034
Mangalayatan University,mangalayatan university,Private,Uttar Pradesh,202145,2006,77.8709,27.6158
Mangalore University,mangalore university,State,Karnataka,574199,1980,74.8964,12.7964
Manipal Academy Of Higher Education,manipal academy of higher education,Deemed,Karnataka,576104,1993,74.7578,13.3695
Manipal University,manipal university,Private,Rajasthan,302026,2011,76.1217,27.1983
Manipur University,manipur university,Central,Manipur,795003,1980,93.937,24.7626
Manonmaniam Sundaranar University,manonmaniam sundaranar university,State,Tamil Nadu,627012,1992,77.6218,8.7662
Marathwada Agricultural University,marathwada agricultural university,State,Maharashtra,431402,1983,76.848,19.2667
Martin Luther Christian University,martin luther christian university,Private,Meghalaya,793001,2005,91.8845,25.5732
Mats University,mats university,Private,Chhattisgarh,493441,2006,82.3482,21.391
Maulana Abul Kalam Azad University Of Technology,maulana abul kalam azad university of technology,State,West Bengal,700091,2001,88.4197,22.5814
Maulana Azad National Urdu University,maulana azad national urdu university,Central,Telangana,500032,1998,78.3372,17.4419
Maulana Azad University,maulana azad university,Private,Rajasthan,342802,2013,73.0371,26.0611
Maulana Mazharul Haque Arabic & Persian University,maulana mazharul haque arabic & persian university,State,Bihar,800001,2004,85.1277,25.6111
Meenakshi Academy Of Higher Education And Research,meenakshi academy of higher education and research,Deemed,Tamil Nadu,600078,2004,80.1942,13.0374
Mewar University,mewar university,Private,Rajasthan,312901,2008,74.6119,25.0837
Mgm Institute Of Health Sciences,mgm institute of health sciences,Deemed,Maharashtra,410209,2006,73.105,19.0168
MGR Educational And Research Institute,mgr educational and research institute,Deemed,Tamil Nadu,600095,2003,80.1639,13.06
Mizoram University,mizoram university,Central,Mizoram,796012,2000,92.719,23.7543
MJP Rohilkhand University,mjp rohilkhand university,State,Uttar Pradesh,243006,1975,79.4362,28.3421
Mody Institute Of Education And Research,mody institute of education and research,Deemed,Rajasthan,332311,2004,75.0134,27.8408
Mohammad Ali Jauhar University,mohammad ali jauhar university,Private,Uttar Pradesh,244901,2006,79.089,28.7218
Mohan Lal Sukhadia University,mohan lal sukhadia university,State,Rajasthan,313001,1962,73.5295,24.898
Monad University,monad university,Private,Uttar Pradesh,245101,2010,77.768,28.6846
Mother Teresa Women�S University,mother teresa women's university,State,Tamil Nadu,600015,1984,80.2233,13.0202
Mpbhoj (Open) University,mpbhoj (open) university,State,Madhya Pradesh,462016,1995,77.4345,23.2111
MS Ramaiah University of Applied Sciences,ms ramaiah university of applied sciences,Private,Karnataka,560054,2013,77.5636,13.0333
Mumbai University,mumbai university,State,Maharashtra,400032,1857,72.8287,18.9292
Mvn University,mvn university,Private,Haryana,121105,2012,77.3045,28.0017
Mysore University,mysore university,State,Karnataka,570005,1916,76.6388,12.3125
Nagaland University,nagaland university,Central,Nagaland,797001,1994,94.1277,25.6035
Nalanda Open University,nalanda open university,State,Bihar,800001,1995,85.1337,25.6171
Nalanda University,nalanda university,Central,Bihar,803116,2010,85.41,25.0184
Nanaji Deshmukh Pashu Chikitsa Vigyan,nanaji deshmukh pashu chikitsa vigyan,State,Madhya Pradesh,482001,2009,79.9702,23.1588
Narendra Deo University of Agriculture & Technology,narendra deo university of agriculture & technology,State,Uttar Pradesh,224229,1974,81.7179,26.7747
Narsee Monjee Institute Of Management Studies,narsee monjee institute of management studies,Deemed,Maharashtra,400056,2003,72.8412,19.1054
National Academy Of Legal Studies & Research,national academy of legal studies & research,State,Telangana,500027,1999,78.4981,17.3885
National Brain Research Centre,national brain research centre,Deemed,Haryana,122001,2002,77.0249,28.4714
National Dairy Research Institute,national dairy research institute,Deemed,Haryana,132001,1989,76.9782,29.6808
National Institute Of Food Technology Entrepreneurship & Management (Niftem),national institute of food technology entrepreneurship & management (niftem),Deemed,Haryana,131028,2012,77.1626,28.8688
National Law Institute University,national law institute university,State,Madhya Pradesh,462044,1999,77.3669,23.1793
National Law School Of India University,national law school of india university,State,Karnataka,560072,1992,77.5194,12.9755
National Law University,national law university,State,Odisha,753001,2008,85.8796,20.4783
National Law University,national law university,State,Rajasthan,342004,2004,77.0266,28.6114
National Law University,national law university,State,Delhi,110078,2008,73.003,26.2937
National Law University and Judicial Academy,national law university and judicial academy,State,Assam,781007,2012,91.7628,26.1727
National Museum Institute Of History Of Arts Conservation And Musicology,national museum institute of history of arts conservation and musicology,Deemed,Delhi,110001,1989,77.2271,28.6236
National University of Advanced Legal Studies (NUALS) Kaloor,national university of advanced legal studies (nuals) kaloor,State,Kerala,682017,2009,76.2948,9.9952
National University of Educational Planning & Administration,national university of educational planning & administration,Deemed,Delhi,110016,2006,77.2017,28.5494
National University of Study & Research in Law,national university of study & research in law,State,Jharkhand,835217,2010,85.3624,23.5117
Nava Nalanda Mahavihara,nava nalanda mahavihara,Deemed,Bihar,803111,2006,85.4269,25.1408
Navrachana University,navrachana university,Private,Gujarat,391410,2009,73.1768,22.2085
Navsari University,navsari university,State,Gujarat,396450,2004,72.90543962,20.91849841
Nehru Gram Bharati Vishwavidyalaya,nehru gram bharati vishwavidyalaya,Deemed,Uttar Pradesh,211002,2008,81.8506,25.4623
Netaji Subhash Open University,netaji subhash open university,State,West Bengal,700064,1997,88.4115,22.5941
NIILM University,niilm university,Private,Haryana,136027,2011,76.3923,29.8008
NIIT University,niit university,Private,Rajasthan,301705,2010,76.3818,27.9982
Nilamber-Pitamber University,nilamber-pitamber university,State,Jharkhand,822101,2007,84.0712,24.0691
NIMS University,nims university,Private,Rajasthan,303001,2008,76.1411,27.0361
Nirma University,nirma university,Private,Gujarat,391410,2003,73.1828,22.2085
NITTE University,nitte university,Deemed,Karnataka,575018,2008,74.9262,12.7832
Nizam�S Institute Of Medical Sciences,nizam�s institute of medical sciences,State,Telangana,500082,1989,78.4557,17.4221
Noida International University,noida international university,Private,Uttar Pradesh,201301,2010,77.3272,28.5757
Noorul Islam Centre For Higher Education,noorul islam centre for higher education,Deemed,Tamil Nadu,629180,2008,77.3139,8.2879
North Bengal University,north bengal university,State,West Bengal,734103,1962,88.2629,27.0344
North East Frontier Technical University,north east frontier technical university,Private,Arunachal Pradesh,791001,2014,94.6447,28.2061
North Eastern Hill University,north eastern hill university,Central,Meghalaya,793022,1973,91.9072,25.6164
North Eastern Regional Institute Of Science & Technology,north eastern regional institute of science & technology,Deemed,Arunachal Pradesh,791109,2005,93.746,27.1246
North Maharashtra University,north maharashtra university,State,Maharashtra,425001,1991,75.5659,21.0179
North Orissa University,north orissa university,State,Odisha,757003,1999,86.7613,21.9328
Op Jindal Global University,op jindal global university,Private,Haryana,131001,2006,77.0048,28.9826
Op Jindal University,op jindal university,Private,Chhattisgarh,496001,2014,83.4097,21.9218
OPJS University,opjs university,Private,Rajasthan,331303,2013,75.368,28.4568
Oriental University,oriental university,Private,Madhya Pradesh,452010,2011,75.8802,22.7614
Orissa University of Agriculture & Technology,orissa university of agriculture & technology,State,Odisha,751003,1962,85.7993,20.2747
Osmania University,osmania university,State,Telangana,500007,1918,78.5365,17.4148
Pacific Academic Of Higher Education & Research University,pacific academic of higher education & research university,Private,Rajasthan,313003,2010,73.4248,24.1206
Pacific Medical University,pacific medical university,Private,Rajasthan,313001,2014,73.5355,24.904
Padmashree DrDY Patil Vidyapeeeth,padmashree drdy patil vidyapeeeth,Deemed,Maharashtra,400706,2002,73.0179,19.0288
Palamuru University,palamuru university,State,Telangana,509001,2008,77.9956,17.0667
Pandit Deendayal Petroleum University,pandit deendayal petroleum university,Private,Gujarat,382007,2007,72.6279,23.1589
Pandit Dwarka Prasad Mishra Indian Institute Of Information Technology Design And Manufacture,pandit dwarka prasad mishra indian institute of information technology design and manufacture,Deemed,Madhya Pradesh,482005,2009,80.0493,23.1871
Parul University,parul university,Private,Gujarat,391760,2015,73.3879,22.3432
Patna University,patna university,State,Bihar,800005,1917,85.1696,25.6217
People�S University,people�s university,Private,Madhya Pradesh,462037,2011,77.424,23.3012
Periyar Manaimmai Institute Of Science & Technology (Pmist),periyar manaimmai institute of science & technology (pmist),Deemed,Tamil Nadu,613403,2007,79.0257,10.7076
Periyar University,periyar university,State,Tamil Nadu,636011,1998,78.0792,11.7099
PES University,pes university,Private,Karnataka,560085,2013,77.541,12.9262
Pondicherry University,pondicherry university,Central,Puducherry,605014,1985,79.8561,12.0301
Ponnaiyan Ramajayam Institute Of Science & Technology (Pmist),ponnaiyan ramajayam institute of science & technology (pmist),Deemed,Tamil Nadu,613403,2008,79.0317,10.7076
Poornima University,poornima university,Private,Rajasthan,303905,2012,75.8156,26.6882
Potti Sreeramulu Telugu University,potti sreeramulu telugu university,State,Telangana,500004,1985,78.4603,17.4008
Pratap University,pratap university,Private,Rajasthan,302004,2011,75.8349,26.8972
Pravara Institute Of Medical Sciences,pravara institute of medical sciences,Deemed,Maharashtra,413736,2003,74.4413,19.585
Presidency University,presidency university,Private,Karnataka,560024,2013,88.3651,22.5755
Presidency University,presidency university,State,West Bengal,700073,2010,77.5984,13.0374
Professor Jayashankar Telangana State Agricultural,professor jayashankar telangana state agricultural,State,Telangana,500030,2014,78.3995,17.3354
Pt Bhagwat Dayal Sharma University of Health Sciences,pt bhagwat dayal sharma university of health sciences,State,Haryana,124001,2008,76.5772,28.8984
Pt Ravishankar Shukla University,pt ravishankar shukla university,State,Chhattisgarh,492010,1964,81.6652,21.3241
Pt Sundarlal Sharma (Open) University,pt sundarlal sharma (open) university,State,Chhattisgarh,495001,2004,82.0421,22.0866
Punjab Agricultural University,punjab agricultural university,State,Punjab,141004,1962,75.7969,30.9042
Punjab Engineering College,punjab engineering college,Deemed,Chandigarh,160009,2003,76.7983,30.7453
Punjab Technical University,punjab technical university,State,Punjab,144011,1998,75.6062,31.3311
Punjab University,punjab university,State,Chandigarh,160014,1947,76.7464,30.7619
Punjabi University,punjabi university,State,Punjab,147002,1962,76.6334,30.5425
Rabindra Bharati University,rabindra bharati university,State,West Bengal,700050,1962,88.3853,22.6276
Raffles University,raffles university,Private,Rajasthan,301020,2011,76.3804,27.8935
Rai Technology University,rai technology university,Private,Karnataka,561204,2014,77.4184,13.2953
Rai University,rai university,Private,Gujarat,382260,2009,72.5044,22.8046
Raja Mansingh Tomar Music & Arts University,raja mansingh tomar music & arts university,State,Madhya Pradesh,474009,2009,78.159,26.1981
Rajasthan Agricultural University,rajasthan agricultural university,State,Rajasthan,334006,1987,73.3962,28.0449
Rajasthan Technical University,rajasthan technical university,State,Rajasthan,324010,2006,75.8047,25.1397
Rajasthan University,rajasthan university,State,Rajasthan,302004,1947,75.8229,26.8972
Rajasthan University of Health Sciences,rajasthan university of health sciences,State,Rajasthan,302033,2005,75.8072,26.8072
Rajasthan University of Veterinary & Animal Sciences,rajasthan university of veterinary and animal sciences,State,Rajasthan,334001,2010,73.0694,28.2254
Rajendra Agricultural University,rajendra agricultural university,State,Bihar,848125,1970,85.6806,26.0069
Rajiv Gandhi National Aviation University,rajiv gandhi national aviation university,Central,Uttar Pradesh,229302,2014,81.4184,26.2175
Rajiv Gandhi Prodoyogiki Vishwavidyalaya,rajiv gandhi prodoyogiki vishwavidyalaya,State,Madhya Pradesh,462036,2004,77.3493,23.3059
Rajiv Gandhi University,rajiv gandhi university,Central,Arunachal Pradesh,791112,1985,93.7763,27.1457
Rajiv Gandhi University Of Health sciences,rajiv gandhi university of health sciences,State,Karnataka,560041,1994,77.5932,12.9245
Rajiv Gandhi University of Knowledge Technologies,rajiv gandhi university of knowledge technologies,State,Telangana,500032,2011,78.3252,17.4419
Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,rajmata vijayaraje scindia krishi vishwavidyalaya,State,Madhya Pradesh,474002,2009,78.1872,26.2205
Raksha Shakti University,raksha shakti university,State,Gujarat,380016,2011,72.6095,23.0477
Rama University,rama university,Private,Uttar Pradesh,209217,2014,80.1958,26.5804
Ramakrishna Mission Vivekananda Educational And Research Institute,ramakrishna mission vivekananda educational and research institute,Deemed,West Bengal,711202,2005,88.355,22.6237
Ranchi University,ranchi university,State,Jharkhand,834001,1960,85.3697,23.4384
Rani Channamma University,rani channamma university,State,Karnataka,591156,2010,74.5038,16.0082
Rani Durgavati Vishwavidyalaya,rani durgavati vishwavidyalaya,State,Madhya Pradesh,482001,1957,79.9582,23.1588
Rashtriya Sanskrit Sansthana,rashtriya sanskrit sansthan,Deemed,Delhi,110058,2002,77.0896,28.6222
Rashtriya Sanskrit Vidyapeeth,rashtriya sanskrit vidyapeeth,Deemed,Andhra Pradesh,517507,1987,78.5754,13.4033
Ravenshaw University,ravenshaw university,State,Odisha,753003,2005,85.903,20.4689
Rayalaseema University,rayalaseema university,State,Andhra Pradesh,518002,2008,77.3769,15.4059
Rayat Bahra University,rayat bahra university,Private,Punjab,140104,2014,76.6791,30.721
Reva University,reva university,Private,Karnataka,560064,2013,77.5557,13.1435
RK University,rk university,Private,Gujarat,360020,2011,70.9401,22.1994
RKDF University,rkdf university,Private,Madhya Pradesh,462033,2011,77.3578,23.3123
Sai Nath University,sai nath university,Private,Jharkhand,835219,2012,85.4932,23.487
Sam Higginbottom Institute Of Agriculture Technology & Sciences,sam higginbottom institute of agriculture technology & sciences,Deemed,Uttar Pradesh,211007,2000,81.8392,25.414
Sambalpur University,sambalpur university,State,Odisha,768019,1967,83.8831,21.4783
Sampurnanand Sanskrit Vishwavidyalaya,sampurnanand sanskrit vishwavidyalaya,State,Uttar Pradesh,221002,1958,82.979,25.3322
Sangai International University,sangai international university,Private,Manipur,795128,2015,93.5134,24.2755
Sangam University,sangam university,Private,Rajasthan,311001,2012,74.719,25.3341
Sant Baba Bhag Singh University,sant baba bhag singh university,Private,Punjab,144030,2015,75.7972,31.3922
Sant Gadge Baba Amravati University,sant gadge baba amravati university,State,Maharashtra,444602,1983,77.8073,20.9515
Sant Longowal Institute Of Engineering And Technology,sant longowal institute of engineering and technology,Deemed,Punjab,148106,2007,75.6823,30.1906
Santosh University,santosh university,Deemed,Uttar Pradesh,201009,2008,77.4437,28.6181
Sardar Patel University,sardar patel university,State,Gujarat,388120,1955,72.9254,22.5489
Sardar Patel University of Police Security and Criminal Justice,sardar patel university of police security and criminal justice,State,Rajasthan,342304,2012,73.084,26.3632
Sardar Vallabh Bhai Patel University of Agriculture & Technology,sardar vallabh bhai patel university of agriculture & technology,State,Uttar Pradesh,250110,2004,77.7368,29.0799
Sarguja University,sarguja university,State,Chhattisgarh,497001,2008,83.2256,23.1565
Sarvepalli Radhakrishnan University,sarvepalli radhakrishnan university,Private,Madhya Pradesh,462026,2015,77.4594,23.2122
Satavahana University,satavahana university,State,Telangana,505001,2008,79.1711,18.441
"Sathyabama Institute Of Science And
Technology","sathyabama institute of science and
technology",Deemed,Tamil Nadu,600119,2001,80.2277,12.8662
Saurashtra University,saurashtra university,State,Gujarat,360005,1955,70.7085,22.2517
Saveetha Institute Of Medical And Technical Sciences,saveetha university,Deemed,Tamil Nadu,600072,2005,80.0495,13.1395
Savitribai Phule Pune University,savitribai phule pune university,State,Maharashtra,411007,1949,73.8178,18.5559
School Of Planning & Architecture,school of planning & architecture,Deemed,Delhi,110002,1979,77.2429,28.6359
Seacom Skills University,seacom skills university,Private,West Bengal,731236,2014,87.6436,23.7071
Shanmugha Arts Science Technology & Research Academy (Sastra),shanmugha arts science technology & research academy (sastra),Deemed,Tamil Nadu,613401,2001,79.0185,10.728
Sharda University,sharda university,Private,Uttar Pradesh,201306,2009,77.4889,28.4863
Shekhawati University,shekhawati university,State,Rajasthan,332001,2012,75.1256,27.5993
Sher-e-Kashmir University of Agricultural Science & Technology,sher-e-kashmir university of agricultural science & technology,State,Jammu & Kashmir,180009,1999,74.9254,32.6793
