osmid,name,area,distance,water,university,centroid_long,centroid_lat
7903593,,2172983.820619498,31631.873595140092,reservoir,Amrita Vishwa Vidyapeetham,76.77195352932537,10.587003050407526
7903595,,3676726.3026111475,54113.71396159149,reservoir,Amrita Vishwa Vidyapeetham,77.40767177173375,10.783907018434867
7914313,Bhatgar reservoir,32067962.152390093,59567.30437211411,reservoir,Ajeenkya D Y Patil University,73.78015263686972,18.199141882692757
7923683,Vandri Lake,4016684.2406613524,74710.34938337203,reservoir,Amity University,72.94745580659125,19.609434076893226
7943959,,2260427.2986761415,92278.1880275443,reservoir,AURO University of Hospitality and Management,73.39172968829926,20.70575713631348
7943960,,2089463.9622791896,83849.60330254724,reservoir,AURO University of Hospitality and Management,73.2860253167469,20.701455133312148
7953581,Manikdoh,9865003.814297723,75913.57817450026,reservoir,Amity University,73.774965196518,19.24628037473816
7973774,Varasgaon,18192741.936710756,68212.1739560933,reservoir,Ajeenkya D Y Patil University,73.53896852813796,18.388295267710138
8026438,Panam Reservoir,55535655.944547005,98341.0468397178,reservoir,Anand Agricultural University,73.76598948338761,23.02323418332332
8194213,,23038906.85360877,71167.6887974471,reservoir,Ayush And Health Science University,81.17212340513566,20.674879707300324
8194214,,12019460.753166696,67538.47594029286,reservoir,Ayush And Health Science University,81.22054614803825,20.678632047827183
8204071,Ravishankar Reservoir,74115270.58268613,64322.72516817449,reservoir,Ayush And Health Science University,81.52899544764804,20.57552254512496
8207454,Sikasaar reservoir,20680651.96464637,102492.80159907785,reservoir,Ayush And Health Science University,82.3125766402953,20.475478456066035
8235296,Dumerpani Reservoir,3827975.5280800126,98786.41707576552,reservoir,Amity University,82.65516648484841,20.80310228630022
8235297,Sahipala Reservoir,1993966.53435807,96738.98049131408,reservoir,Amity University,82.67853815244678,20.858909487579947
8251578,Ghod Reservoir,28590725.92706611,35427.52518544708,reservoir,Ajeenkya D Y Patil University,74.45477811921972,18.726270906162263
8256553,,1180720.1023455237,85038.67923716774,reservoir,Amity University,82.37059128675557,22.04447452486806
8415449,,3104181.252864368,37180.821040148585,reservoir,Alliance University,77.34409254159672,12.977829010089836
8415450,,2627623.223426785,33904.34640912101,reservoir,Alliance University,77.32969407574475,12.89605210070272
8421510,Sukhna Lake,1362619.4655139486,49586.852110600215,lake,APG (Alakh Prakash Goyal) University,76.81995753813878,30.741407877314586
8503675,Parambikulam Reservoir,20217850.67912427,51231.98086345878,reservoir,Amrita Vishwa Vidyapeetham,76.8048758081563,10.385148549637114
8503676,Peruvarippalam Reservoir,1426589.4873498164,45061.46363631498,reservoir,Amrita Vishwa Vidyapeetham,76.7760247247406,10.451908069350125
8503824,Chimminy Reservoir,7895010.507535918,64736.192874502885,reservoir,Amrita Vishwa Vidyapeetham,76.48010303075476,10.439082858936608
8546709,Powai Lake,1784020.2327271937,29717.343156870567,lake,Amity University,72.90487810129048,19.127069285737434
8810862,Malampuzha Lake,19226563.546445046,24808.864028193413,reservoir,Amrita Vishwa Vidyapeetham,76.68916741345649,10.847261687770732
8886666,Ranjit Sagar,70664844.27623606,41685.26831570312,reservoir,Arni University,75.7700785371268,32.48357430320463
9042890,,4517184.250661779,75255.50400996355,reservoir,Anand Agricultural University,73.71140511554523,22.556027331326465
9042893,,1481630.671373006,29601.559344791767,reservoir,Anand Agricultural University,73.25967764311193,22.58165991225705
9049956,,4452292.03543001,60921.035601069125,reservoir,Anand Agricultural University,73.55748727234052,22.388929330606288
9083419,Backwater Wilson Dam,18117595.439983435,90771.93473908574,reservoir,Amity University,73.73414561300889,19.53324901104828
9218434,,22607822.65097074,59571.37787242854,reservoir,Assam University,92.75451059945512,24.26839742559674
9319304,Pothundi reservoir,3179885.162108213,44766.183713507824,reservoir,Amrita Vishwa Vidyapeetham,76.63301913913088,10.54252031676078
9323642,,16575069.185966894,78476.54657799799,reservoir,Ayush And Health Science University,80.97394973235956,20.806505303264533
9336894,,1859934.6910628187,57189.895319845615,reservoir,Ayush And Health Science University,82.02892409987503,20.78675757604751
9400786,,4440385.752228102,78907.5786204531,reservoir,Azim Premji University,78.37920532997752,12.973955002169877
9401253,,2858610.6477718293,75499.75056770735,reservoir,Azim Premji University,78.33584961550591,13.024565275056933
9521805,,983844.635788533,58198.57768225699,reservoir,Amity University,73.01357131021872,19.47076685300998
9961445,,3780200.778671133,68839.15610757942,reservoir,Ahmedabad University,72.24494522857293,22.48582988505743
10179602,Yelahanka Lake,961196.149519622,30123.460713179204,lake,Azim Premji University,77.59347341599964,13.113539725257574
10215377,K L Rao Sagar,51869320.763867274,63644.056760559004,reservoir,Acharya Nagarjuna University,80.01050013337975,16.709076437765695
10297258,,843962.8220220514,90385.2096226291,reservoir,AURO University of Hospitality and Management,72.00577709855277,21.7179554887374
10344457,Peringalkuthu Reservoir,2463996.124864351,64958.524211173266,reservoir,Amrita Vishwa Vidyapeetham,76.65293478262168,10.30856494726511
